code,term
17794111000001108,Beclometasone 100micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd) (AMP)
17809311000001106,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Phoenix Healthcare Distribution Ltd) (AMP)
17810011000001102,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Phoenix Healthcare Distribution Ltd) (AMP)
17833911000001100,Beclometasone 250micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd) (AMP)
18050311000001104,Alvesco 160 inhaler (Lexon (UK) Ltd) (AMP)
18058211000001105,Flixotide 50micrograms/dose Evohaler (Lexon (UK) Ltd) (AMP)
18058811000001106,Qvar 100micrograms/dose Easi-Breathe inhaler (Sigma Pharmaceuticals Plc) (AMP)
18059011000001105,Qvar 50micrograms/dose Easi-Breathe inhaler (Sigma Pharmaceuticals Plc) (AMP)
18174511000001109,Pulmicort 1mg Respules (Necessity Supplies Ltd) (AMP)
18174711000001104,Pulmicort 0.5mg Respules (Necessity Supplies Ltd) (AMP)
18174911000001102,Pulmicort 100 Turbohaler (Necessity Supplies Ltd) (AMP)
18175111000001101,Pulmicort 200 Turbohaler (Necessity Supplies Ltd) (AMP)
18175311000001104,Pulmicort 400 Turbohaler (Necessity Supplies Ltd) (AMP)
18185011000001106,Seretide 100 Accuhaler (Necessity Supplies Ltd) (AMP)
18185211000001101,Seretide 250 Accuhaler (Necessity Supplies Ltd) (AMP)
18185411000001102,Seretide 500 Accuhaler (Necessity Supplies Ltd) (AMP)
18185611000001104,Seretide 125 Evohaler (Necessity Supplies Ltd) (AMP)
18185811000001100,Seretide 250 Evohaler (Necessity Supplies Ltd) (AMP)
18195111000001106,Symbicort 100/6 Turbohaler (Necessity Supplies Ltd) (AMP)
18195311000001108,Symbicort 200/6 Turbohaler (Necessity Supplies Ltd) (AMP)
18195511000001102,Symbicort 400/12 Turbohaler (Necessity Supplies Ltd) (AMP)
18261611000001102,Flixotide 100micrograms/dose Accuhaler (Necessity Supplies Ltd) (AMP)
18261811000001103,Flixotide 250micrograms/dose Accuhaler (Necessity Supplies Ltd) (AMP)
18262011000001101,Flixotide 500micrograms/dose Accuhaler (Necessity Supplies Ltd) (AMP)
18262211000001106,Flixotide 125micrograms/dose Evohaler (Necessity Supplies Ltd) (AMP)
18262411000001105,Flixotide 250micrograms/dose Evohaler (Necessity Supplies Ltd) (AMP)
18262611000001108,Flixotide 250microgram disks (Necessity Supplies Ltd) (AMP)
18263011000001105,Flixotide 500microgram disks (Necessity Supplies Ltd) (AMP)
18295511000001100,Qvar 100 Autohaler (Stephar (U.K.) Ltd) (AMP)
18507011000001106,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Almus Pharmaceuticals Ltd) (AMP)
18507211000001101,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Almus Pharmaceuticals Ltd) (AMP)
18579211000001101,Flixotide 50micrograms/dose Evohaler (DE Pharmaceuticals) (AMP)
18608111000001104,Qvar 100 Autohaler (DE Pharmaceuticals) (AMP)
18608311000001102,Qvar 50 Autohaler (DE Pharmaceuticals) (AMP)
18608511000001108,Qvar 100micrograms/dose Easi-Breathe inhaler (DE Pharmaceuticals) (AMP)
18608711000001103,Qvar 50micrograms/dose Easi-Breathe inhaler (DE Pharmaceuticals) (AMP)
18608911000001101,Qvar 50 inhaler (DE Pharmaceuticals) (AMP)
18611411000001104,Seretide 500 Accuhaler (DE Pharmaceuticals) (AMP)
19612611000001105,Flixotide 50micrograms/dose Accuhaler (DE Pharmaceuticals) (AMP)
