code,term
24402611000001106,Montelukast 4mg chewable tablets sugar free (DE Pharmaceuticals) (AMP)
24402911000001100,Montelukast 5mg chewable tablets sugar free (DE Pharmaceuticals) (AMP)
24403311000001106,Montelukast 10mg tablets (DE Pharmaceuticals) (AMP)
24511811000001108,Montelukast 10mg tablets (Sandoz Ltd) (AMP)
24512811000001104,Montelukast 4mg chewable tablets sugar free (Sandoz Ltd) (AMP)
24513011000001101,Montelukast 5mg chewable tablets sugar free (Sandoz Ltd) (AMP)
24513311000001103,Montelukast 4mg granules sachets sugar free (Sandoz Ltd) (AMP)
25254111000001105,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd) (AMP)
25254711000001106,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd) (AMP)
26112111000001106,Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd) (AMP)
26148711000001101,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler (VMP)
29749211000001101,Flutiform 125micrograms/dose / 5micrograms/dose inhaler (Waymade Healthcare Plc) (AMP)
29749411000001102,Flutiform 50micrograms/dose / 5micrograms/dose inhaler (Waymade Healthcare Plc) (AMP)
29749611000001104,Flutiform 250micrograms/dose / 10micrograms/dose inhaler (Waymade Healthcare Plc) (AMP)
29782111000001107,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd) (AMP)
29782511000001103,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd) (AMP)
29926511000001101,Montelukast 10mg tablets (Sigma Pharmaceuticals Plc) (AMP)
29926711000001106,Montelukast 4mg chewable tablets sugar free (Sigma Pharmaceuticals Plc) (AMP)
29926911000001108,Montelukast 5mg chewable tablets sugar free (Sigma Pharmaceuticals Plc) (AMP)
29953311000001102,Accolate 20mg tablets (Lexon (UK) Ltd) (AMP)
30041511000001100,Atimos Modulite 12micrograms/dose inhaler (Waymade Healthcare Plc) (AMP)
30095311000001100,Salmeterol 25micrograms/dose inhaler CFC free (DE Pharmaceuticals) (AMP)
30253911000001100,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Waymade Healthcare Plc) (AMP)
30273011000001101,Relvar Ellipta 184micrograms/dose / 22micrograms/dose dry powder inhaler (Waymade Healthcare Plc) (AMP)
30273211000001106,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (Waymade Healthcare Plc) (AMP)
3082411000001100,Serevent 50microgram disks (GlaxoSmithKline UK Ltd) (AMP)
30833411000001103,Montelukast 4mg granules sachets sugar free (Mawdsley-Brooks & Company Ltd) (AMP)
30833611000001100,Montelukast 4mg chewable tablets sugar free (Mawdsley-Brooks & Company Ltd) (AMP)
